,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
122,konisv,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Conman0071,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,AlwaysAlec,,6.0,6.0,,,9.0,5.0,,6.0,,,1.0,,,5.0,22.0,1.0,,,,7.0,1.0,,1.0,1.0,5.0,,,,,,,,,4.0,,,,,,
125,SquiggsMcDolphin,,6.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,AmbroseForLife,,,3.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
127,martinofthedale,,4.0,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,vFar,,1.0,,2.0,,,3.0,,4.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
129,Ducky_1246,,1.0,28.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Engine_GG,3.0,3.0,,,,2.0,1.0,,4.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,
131,WoodyWoodDeejer,1.0,1.0,3.0,,2.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0
132,LegallyGood,,,1.0,,,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,TheFreeLlama,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Ryhime,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Eris_Live,,2.0,1.0,,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,nocobot978,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,munewell,,1.0,8.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
138,MCFulcrum,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Starhauntu,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Coziegoldfish728,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,arnban,1.0,25.0,51.0,,7.0,23.0,60.0,,1.0,2.0,,9.0,,,6.0,,,6.0,,,1.0,,,,3.0,2.0,,,,,,1.0,,,,,,,,,
142,FlamingoB,1.0,4.0,1.0,,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
143,Shadovx,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,taxfrqud,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ShpookE,,2.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,FerJekeey,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Blue_Wolf12,,1.0,11.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,c203,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,The_Tzu,,1.0,26.0,,3.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,CalTexx,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,sfpt,,8.0,1.0,,1.0,4.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,LizzieLocks,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,HiIGuess,,1.0,4.0,,4.0,1.0,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
